default,student,balance,income
No,No,220.03,37880.03
No,Yes,1304.91,18074.08
No,Yes,1608.15,22358.05
No,No,256.47,37657.06
No,Yes,1153.60,19224.98
No,No,771.90,31170.09
No,Yes,1099.63,17064.04
No,No,782.88,40357.13
No,No,444.26,35924.34
No,No,504.03,24780.96
No,No,1762.50,42124.66
No,Yes,850.10,18618.99
No,No,1412.24,40785.06
No,No,715.50,47482.57
No,No,1363.53,55713.04
No,No,493.24,42495.20
No,No,1354.75,33375.13
No,Yes,571.29,15416.27
No,No,956.15,44086.71
No,No,964.82,34390.75
No,No,552.63,50513.16
No,No,338.27,37767.24
No,No,709.12,44041.63
No,No,978.98,57839.05
No,No,371.01,15702.71
Yes,Yes,1572.86,14930.18
No,No,0.00,40150.22
Yes,No,1964.48,39054.59
No,No,548.04,33605.65
No,No,1257.06,34045.01
No,No,1189.92,38016.89
No,No,687.68,39373.58
No,No,845.70,39899.51
No,Yes,957.68,19676.35
No,No,233.52,43326.11
No,Yes,1126.95,14298.26
No,Yes,488.86,15159.49
No,No,767.90,44323.58
No,No,561.93,31388.51
No,Yes,1092.27,17454.60
No,No,71.79,31965.74
No,Yes,1839.14,13625.40
No,Yes,876.00,22474.57
No,No,554.11,30357.03
No,No,891.32,43945.04
No,No,464.84,27324.90
No,Yes,563.54,24082.04
Yes,No,1530.35,30003.82
No,No,990.57,41690.25
No,No,590.40,42769.20
No,Yes,715.16,21153.51
No,No,1540.38,41852.08
No,No,1243.33,41639.68
No,Yes,235.33,20909.70
No,No,528.25,49394.34
No,No,592.25,30731.20
No,No,705.20,42683.19
No,No,456.52,48195.78
No,Yes,470.72,18052.10
No,Yes,1503.08,10600.41
No,No,1362.97,44217.92
No,No,908.77,45032.85
No,Yes,1096.82,16148.06
No,No,369.22,47835.09
No,No,673.40,50256.29
No,No,1038.50,51173.14
No,No,0.00,28762.92
No,No,527.19,32431.12
No,No,817.47,32974.43
No,Yes,1549.04,19702.29
No,Yes,566.71,11853.95
No,No,1496.06,24935.92
No,No,862.66,42844.83
No,No,1259.15,31263.64
No,No,1025.04,43510.05
No,Yes,703.28,14793.74
No,Yes,1082.39,15175.36
No,No,910.45,44054.92
No,Yes,996.54,16995.66
No,No,353.78,58514.32
No,Yes,782.71,13300.30
No,No,1716.60,51056.87
No,Yes,502.90,15153.97
No,No,1033.47,59203.97
No,No,0.00,34925.37
No,Yes,1087.08,19263.77
No,No,1047.24,43899.76
No,No,1056.93,38367.87
No,Yes,979.22,26010.89
No,Yes,847.82,15978.63
No,No,781.77,50958.79
No,Yes,402.49,15904.06
No,No,204.74,17534.29
No,Yes,2022.67,18336.74
No,No,748.94,44186.62
No,No,838.28,35917.49
No,No,386.02,44694.03
No,No,812.40,49623.10
No,Yes,1809.93,6985.14
No,No,0.00,30360.55
No,Yes,1328.18,24688.47
No,Yes,1464.94,26716.69
No,No,1200.57,39718.69
No,No,989.69,27856.58
No,No,870.73,35539.27
No,Yes,1200.85,19849.83
No,Yes,1428.83,23204.68
No,No,0.00,33951.29
No,Yes,359.46,21783.27
No,No,265.68,40862.75
No,No,1027.77,44406.84
No,No,729.05,35042.13
No,No,1042.80,25867.15
No,No,230.23,37875.61
No,No,367.47,30611.27
No,Yes,737.71,20863.80
No,No,18.26,30349.46
No,No,1257.76,30834.77
No,No,455.52,40907.40
No,No,56.97,35458.48
No,Yes,723.93,12213.04
No,No,612.38,41379.77
No,Yes,1220.18,15308.13
No,No,1222.35,32363.37
No,No,1165.49,47684.22
Yes,No,1642.82,46856.95
No,No,944.17,56088.68
No,No,749.61,41423.94
No,No,370.38,31231.01
Yes,No,1991.65,42133.37
No,No,773.92,44562.34
No,Yes,817.25,20480.89
No,No,1060.72,50260.46
Yes,No,1550.45,56273.51
No,Yes,454.47,15092.44
No,Yes,1256.24,17784.56
No,No,1484.40,36731.31
No,Yes,1050.48,12661.61
No,No,986.40,45430.47
No,No,717.34,44266.38
No,No,692.14,47038.09
Yes,No,1328.89,34710.06
No,No,673.47,32930.07
No,No,218.64,48991.40
No,No,1218.17,43954.28
No,Yes,13.52,19322.55
No,Yes,531.48,21726.56
No,No,165.54,33436.46
No,Yes,1351.85,25890.50
No,No,107.28,54143.96
No,No,947.19,35604.12
No,Yes,434.56,14812.65
No,No,1020.07,37458.88
No,No,662.31,31597.90
No,Yes,754.42,20767.68
No,No,289.49,44412.90
No,No,198.04,36270.94
No,Yes,516.06,16615.02
No,No,697.56,41755.40
No,Yes,502.32,16947.42
No,Yes,1459.69,15575.42
No,No,717.00,34418.26
No,Yes,1037.97,18324.03
No,No,673.02,29735.96
No,No,371.92,41099.77
No,No,89.13,55604.61
No,No,1273.28,40895.28
No,No,600.72,18680.52
No,No,905.04,40711.80
No,No,1061.44,54437.01
No,No,1672.64,46334.79
No,Yes,883.70,19750.09
No,No,373.78,53936.24
No,No,1287.80,52382.66
No,No,1229.74,48739.93
No,Yes,510.61,22457.05
No,No,775.63,27205.86
No,No,1152.98,50206.58
No,Yes,1303.66,7986.00
No,No,1675.28,28244.50
No,No,398.28,30001.80
No,Yes,739.90,25023.87
No,No,226.42,32018.71
No,No,1217.32,25173.62
No,No,639.82,29902.00
No,Yes,883.17,12717.49
No,No,2.29,38186.52
No,No,419.64,55967.99
No,Yes,1544.14,11102.53
No,No,1101.02,32153.01
Yes,No,1700.60,30488.98
No,No,311.82,48301.06
No,No,442.83,55074.13
No,No,728.81,17909.58
No,No,278.88,37188.67
No,No,758.70,36625.99
No,No,620.34,22803.74
No,Yes,1890.17,18402.46
No,No,0.00,28951.45
No,Yes,1329.20,23184.02
No,No,1075.86,44128.63
No,No,618.53,54956.99
No,No,1111.09,27466.89
No,No,864.04,45881.93
No,No,895.23,48512.46
No,Yes,954.03,21908.53
No,No,947.63,46813.52
No,No,267.30,23117.93
No,Yes,1366.81,23913.21
No,No,624.73,38325.17
No,No,13.68,25221.64
No,No,785.87,44778.02
No,Yes,1353.09,18933.50
No,No,480.32,25553.26
No,No,0.00,29507.31
No,Yes,1221.97,17916.86
No,Yes,1184.94,25108.76
No,Yes,478.57,27512.34
No,No,221.69,34786.10
No,No,578.39,41054.14
No,Yes,1361.46,19576.96
No,Yes,977.85,19731.96
No,No,1184.43,36887.44
Yes,Yes,1118.70,21848.44
Yes,No,1119.10,37224.57
No,No,776.35,31329.48
No,No,1322.30,51792.40
No,No,878.03,27438.59
No,No,1268.38,16921.18
No,No,0.00,32611.37
No,No,0.00,37262.57
No,Yes,366.79,25833.06
No,No,747.56,39898.77
No,No,1787.29,37499.09
No,Yes,1929.45,14995.49
No,No,987.14,27961.32
No,Yes,856.36,20758.21
No,No,1101.15,18153.84
No,No,704.18,31515.98
No,No,555.62,40837.73
No,No,1073.50,44764.11
No,No,1126.22,32842.65
No,Yes,649.77,15708.30
No,No,977.66,43743.50
No,No,1049.89,42637.51
No,Yes,1383.57,15764.35
No,Yes,1095.47,14065.17
No,No,1089.37,30224.60
No,No,605.22,21792.32
No,No,1033.89,49262.05
No,No,1604.72,38186.99
No,No,826.33,24679.72
No,Yes,1176.15,16670.68
No,Yes,1275.02,19937.10
No,Yes,1290.28,23538.94
No,No,1133.47,51414.50
No,No,837.41,37400.49
No,Yes,379.08,18280.37
No,Yes,1134.17,12453.36
No,No,0.00,39120.08
No,No,1491.17,59394.38
No,Yes,1695.36,9582.94
No,No,705.57,54589.24
No,No,239.19,33743.23
No,Yes,1183.71,12428.61
No,No,898.76,38267.08
No,Yes,1524.29,11719.59
No,No,777.02,35115.02
No,No,1394.80,26074.93
No,Yes,0.00,20476.16
No,No,62.57,47946.77
Yes,No,1981.45,28127.90
No,No,514.05,50053.26
No,No,722.79,53714.19
No,No,152.87,33716.86
No,No,293.18,35390.29
No,No,0.00,38613.62
No,Yes,645.37,17878.36
No,Yes,1515.15,26046.77
No,Yes,767.44,18846.49
No,Yes,491.88,21715.23
No,No,0.00,41389.44
No,No,0.00,34589.49
No,No,509.16,40132.66
No,Yes,965.59,16440.10
No,Yes,1868.54,20489.60
No,No,403.50,41803.78
No,No,593.14,37670.94
No,No,0.00,44547.87
No,No,742.29,39367.19
No,Yes,1110.10,13013.61
No,No,771.55,49440.40
No,No,624.34,42492.75
No,Yes,499.96,22884.95
No,No,1088.64,60650.04
No,No,1556.49,49669.67
No,Yes,797.08,23558.68
No,No,415.99,38215.68
No,Yes,538.23,26833.04
No,Yes,1181.93,21086.08
No,Yes,836.02,9271.79
No,No,104.44,46928.01
No,No,564.21,53196.62
No,Yes,804.54,25091.46
No,No,1028.95,21218.30
No,No,748.75,8983.86
No,No,66.63,28735.97
No,No,452.80,48034.24
No,Yes,798.46,27724.07
No,Yes,1941.90,23467.13
No,No,1446.10,22996.43
No,No,761.06,61580.03
No,No,1350.17,43147.46
No,No,380.95,36943.36
No,Yes,1602.85,15906.47
No,No,147.61,37588.56
No,No,0.00,36283.08
No,Yes,733.07,18818.17
No,Yes,1082.75,26096.34
No,No,779.66,40804.48
No,No,994.16,65254.08
No,No,769.18,50070.78
No,Yes,684.10,4985.17
No,No,442.56,27898.47
Yes,No,1717.07,38408.89
No,No,0.00,36302.53
No,No,1092.35,44717.01
No,No,497.33,35146.80
No,Yes,1149.68,16907.70
Yes,No,1465.21,58699.98
No,No,565.32,41789.61
No,Yes,922.14,12224.19
No,Yes,175.60,11510.06
No,No,1024.95,49675.56
No,No,596.89,54091.62
No,No,750.41,53084.91
No,Yes,790.87,14183.97
No,No,112.33,42386.05
No,Yes,738.39,16093.28
No,No,1157.86,54419.81
No,No,1213.24,45149.52
No,No,1339.63,41656.00
No,No,588.31,56520.96
No,No,721.81,56375.72
No,No,680.82,43843.47
No,Yes,815.41,12071.76
No,No,1042.51,37170.11
No,Yes,663.25,20454.62
No,Yes,1478.62,18026.47
No,No,337.76,33655.57
No,Yes,1273.55,23126.64
No,No,114.18,49562.99
No,No,0.00,52295.60
No,Yes,1516.32,26377.59
No,Yes,898.11,24164.75
No,No,790.59,48219.59
No,No,0.00,29072.72
No,No,1273.24,49136.47
No,No,1279.20,36063.11
No,Yes,732.72,14568.75
Yes,No,1763.58,46227.07
No,Yes,1280.42,16310.91
No,No,1529.94,36912.90
No,Yes,345.47,18251.49
No,No,197.99,33723.99
Yes,Yes,1770.97,15975.54
No,Yes,639.37,17037.05
No,No,238.81,23526.71
No,No,390.56,45338.36
No,Yes,830.17,19476.59
No,Yes,1378.88,21613.58
No,No,242.40,37364.42
No,No,1236.55,36211.49
No,No,1063.77,34914.28
No,No,126.92,33819.14
No,No,758.47,38018.15
No,No,908.93,68758.88
No,No,558.52,46297.43
No,No,1819.24,36969.55
No,Yes,1110.68,19327.58
No,No,723.24,43459.01
No,No,972.03,18510.95
No,No,696.01,40741.42
No,Yes,1178.25,29362.60
No,Yes,329.56,19371.81
No,Yes,792.53,14546.30
No,No,1246.04,33691.72
No,No,591.76,41670.26
No,No,244.08,24854.25
No,No,1038.55,49944.87
No,No,679.07,49488.56
No,No,1061.42,40585.22
No,Yes,1268.24,11914.58
No,Yes,955.53,14736.72
No,No,1115.82,27882.81
No,Yes,601.16,22029.19
No,No,1097.60,52286.43
No,No,1042.78,45982.97
No,Yes,1321.44,8624.11
No,No,1052.39,37637.66
No,No,687.95,27604.08
No,Yes,566.46,24828.27
No,No,769.41,35071.17
No,No,955.14,26372.99
No,No,643.41,28660.14
No,No,0.00,42745.30
No,No,437.64,45384.05
No,No,1278.87,34673.17
No,No,1639.39,30624.78
No,No,891.64,36470.83
No,Yes,316.46,18813.94
No,No,622.93,48874.56
No,No,107.28,42287.30
No,Yes,990.54,12398.49
No,No,0.00,45660.00
No,No,0.00,33119.96
No,No,591.22,35287.82
No,Yes,928.06,21121.84
No,No,304.60,40785.99
No,No,235.94,31336.51
No,Yes,1108.05,10853.23
No,No,687.31,24563.76
No,No,60.19,39864.86
No,No,0.00,34648.97
No,No,272.89,58730.57
Yes,No,1531.72,43930.40
No,No,949.61,47702.57
No,No,561.92,35080.58
No,No,468.13,25231.35
No,Yes,993.11,12215.95
No,No,0.00,31314.70
No,Yes,759.48,12710.72
No,No,1340.79,36440.23
No,Yes,1521.46,15210.47
No,No,133.74,30457.02
Yes,No,780.17,51656.87
No,No,839.92,22884.79
No,No,913.51,36670.85
No,No,924.88,35712.64
No,No,1197.83,54652.31
No,No,49.21,30451.15
No,No,970.72,48387.65
No,No,783.06,54082.42
No,Yes,465.06,20379.06
No,No,0.00,39337.75
No,Yes,732.26,21986.05
No,No,576.09,37679.70
No,Yes,588.99,16309.88
No,No,863.14,43779.48
No,No,857.58,49675.37
No,No,361.50,33674.89
No,No,891.16,36023.09
No,No,918.12,44738.56
No,No,1335.03,21150.86
No,No,421.40,39873.52
No,Yes,743.64,18883.97
No,No,773.74,41872.49
No,No,731.39,45251.88
No,No,964.19,36330.39
No,Yes,350.02,17657.17
No,No,1206.66,37125.59
No,No,1051.95,52888.19
No,No,454.76,45572.17
No,No,932.67,42758.60
No,No,535.75,36259.46
No,No,241.81,41186.18
No,No,1026.51,42042.17
No,Yes,187.68,18278.83
No,No,197.54,58646.93
No,No,585.71,43288.40
No,Yes,1947.02,12147.05
No,No,829.55,39717.54
No,No,196.94,35488.45
No,No,591.86,31438.78
No,No,0.00,39742.11
No,Yes,1008.29,11939.30
No,Yes,1052.23,17410.75
No,No,331.68,49756.17
No,No,913.11,29414.65
No,Yes,561.39,21747.26
No,No,246.96,47692.89
No,No,578.98,46304.72
No,No,557.81,62352.85
No,Yes,788.25,10418.18
No,No,1060.81,39174.06
No,Yes,1247.91,19816.72
No,No,1184.36,34259.99
No,No,1024.58,33071.55
No,No,1080.29,43367.90
No,No,540.28,26267.16
No,No,1448.84,33835.74
No,Yes,561.19,27421.11
No,No,1191.48,30040.57
No,No,565.14,38202.58
No,No,482.98,35845.19
No,No,950.35,37486.25
No,Yes,350.70,21235.36
Yes,Yes,1551.02,19027.51
No,No,981.60,37747.91
No,No,1442.13,10921.62
No,No,1060.34,56607.25
No,No,1154.89,61794.35
No,Yes,544.14,20056.83
No,No,1137.18,27588.93
No,No,414.08,47811.42
No,Yes,436.01,17504.45
No,No,987.81,25809.98
No,No,679.39,46603.55
No,No,1377.77,51633.33
No,No,856.81,32437.13
No,No,1036.68,44923.80
No,No,0.00,46826.80
No,No,961.47,51936.76
No,No,275.99,35622.83
No,No,426.69,30769.34
No,No,290.25,46214.16
No,No,934.97,42325.75
No,Yes,668.99,26342.05
No,Yes,2004.73,27136.54
No,No,1312.87,29938.26
No,Yes,662.27,15092.05
No,No,524.64,36120.89
No,Yes,1212.59,21058.35
No,No,961.32,30290.81
Yes,Yes,1504.29,13965.19
No,Yes,613.66,25040.49
No,Yes,1233.34,13402.07
No,No,1221.39,36961.32
No,No,1217.06,46256.78
No,No,628.76,43205.18
No,Yes,819.10,15957.94
No,Yes,843.49,12710.03
No,No,1173.56,29141.37
No,Yes,1195.59,13329.60
No,No,1202.88,12288.13
No,No,24.87,29316.97
No,No,853.24,29484.05
No,No,398.78,40223.91
No,Yes,1521.17,18149.89
No,Yes,1160.22,15941.05
No,No,985.61,49948.47
No,No,583.82,38215.96
No,Yes,638.69,18148.30
No,No,385.00,25380.70
No,No,1050.76,31558.90
Yes,Yes,1871.94,18077.49
No,No,793.76,35157.74
No,Yes,591.66,21790.50
No,No,419.48,24001.51
No,Yes,514.28,18185.48
No,No,1027.90,21551.61
No,Yes,1029.68,15977.32
No,Yes,953.63,18363.07
No,Yes,1463.34,11579.16
No,No,1172.46,34690.14
No,Yes,548.27,12048.82
No,No,1752.88,48250.10
No,Yes,555.92,23909.71
No,Yes,1560.93,13621.57
No,Yes,839.88,16883.34
No,Yes,1112.82,13634.91
No,No,1309.25,43278.06
No,No,940.59,41560.47
No,No,1019.25,41195.37
No,No,433.67,32904.70
No,No,1015.12,42050.47
No,No,75.18,52765.98
No,No,1050.32,39585.62
No,No,48.91,35155.17
No,No,1721.65,48236.13
No,No,1607.35,48700.85
No,No,1180.45,43914.42
No,No,609.88,40875.95
No,Yes,1054.20,19440.97
No,Yes,793.82,19074.03
No,No,879.68,30021.38
No,No,1237.65,29151.23
No,Yes,1412.76,18234.46
No,Yes,1174.72,13025.77
No,No,363.34,44325.79
No,No,919.49,44928.18
No,Yes,1195.06,21648.66
No,Yes,794.14,15721.80
No,No,10.19,33776.83
No,No,0.00,31083.22
No,Yes,498.51,16967.62
No,Yes,1227.16,18459.42
Yes,No,1902.61,53394.08
No,Yes,1059.20,11742.38
No,Yes,450.31,21177.61
No,No,418.54,55002.73
No,No,1070.48,32939.37
No,No,1306.77,56640.63
No,Yes,1315.34,8431.18
No,No,74.53,19146.25
No,No,66.15,38927.12
No,No,56.42,54217.34
No,No,1056.60,25123.86
No,No,259.24,51355.37
No,Yes,1143.69,23500.90
No,Yes,0.00,15682.07
No,No,877.79,30239.72
No,No,919.08,45315.56
No,No,94.93,27212.95
No,No,333.37,29413.15
No,No,197.91,30971.20
No,No,624.91,41047.56
No,No,138.25,54406.50
No,No,787.55,46185.55
No,No,1030.93,36271.33
No,No,1049.75,30159.21
No,No,0.00,35738.99
No,Yes,1130.06,18467.10
No,No,795.54,51303.14
No,Yes,1503.60,18710.61
No,No,436.14,46071.66
No,No,800.71,36314.44
Yes,Yes,1881.05,16580.45
No,Yes,1445.46,18632.62
No,No,1166.10,23994.40
No,No,163.75,38970.03
No,No,0.00,46353.80
No,No,1322.05,47814.17
No,No,1283.52,61525.70
No,No,1000.90,43059.05
No,No,249.86,47602.12
No,No,500.22,38991.01
No,No,568.09,36374.43
No,Yes,1047.09,13714.28
No,Yes,186.67,15976.64
No,No,782.78,39224.41
No,No,388.55,18007.83
No,Yes,842.57,17279.52
No,No,556.12,44197.91
No,No,1234.58,48112.48
No,No,412.89,42123.22
No,No,683.36,29269.33
No,No,872.23,48101.61
No,No,415.77,24740.75
No,Yes,1518.02,16740.44
No,No,254.39,44612.15
No,No,1507.25,24057.52
No,No,900.57,40848.69
No,No,595.15,46011.95
No,Yes,163.94,21083.00
No,No,389.61,43472.67
No,Yes,1334.97,14834.86
No,Yes,1961.73,17864.10
No,No,1173.16,36439.68
No,No,1102.42,23218.08
No,No,1228.91,46411.82
Yes,No,1505.83,29525.75
No,Yes,1217.62,21160.43
No,Yes,843.16,12042.89
No,No,1004.53,59403.93
No,No,294.06,57500.11
No,No,484.72,24569.57
No,No,775.56,34586.25
No,Yes,1339.31,21031.86
No,No,801.86,39156.63
No,No,551.89,37573.14
No,Yes,522.38,23440.06
No,Yes,1237.45,20660.47
No,No,320.01,57563.49
No,No,960.67,30093.73
No,No,272.02,29773.61
No,No,927.17,33781.82
No,No,75.80,55189.69
No,No,1285.85,37635.95
No,No,1471.78,32478.04
No,Yes,808.01,14485.47
No,No,747.35,42900.02
No,No,327.80,23865.33
No,Yes,851.34,18786.58
No,No,110.85,27370.30
No,No,541.76,57322.11
No,No,0.00,36269.29
No,No,1201.36,51740.89
No,No,57.22,18982.56
No,Yes,785.09,32945.83
No,Yes,383.64,17445.18
No,No,1107.30,52765.06
No,No,396.99,55454.63
No,No,0.00,44807.38
No,No,924.24,45207.39
No,No,602.49,33202.53
No,Yes,828.74,17962.31
No,Yes,1.61,20837.34
No,Yes,894.01,18002.33
No,No,1234.48,31313.37
No,No,406.01,42642.24
No,Yes,1052.00,12376.10
No,Yes,1085.84,18890.23
No,No,1656.17,41133.13
No,Yes,242.65,20426.79
No,Yes,602.31,12927.71
No,No,187.60,59661.00
No,No,331.30,34497.74
No,No,911.39,57131.32
No,No,391.41,39761.56
No,No,1450.35,33957.18
No,No,819.92,28960.11
No,Yes,1590.18,18666.41
No,Yes,1256.61,22493.50
Yes,Yes,1889.33,22652.11
No,No,743.69,10774.97
No,No,343.19,29555.91
No,No,534.97,44079.33
No,No,1207.70,34857.54
No,No,564.81,39829.42
No,Yes,495.37,22938.14
No,No,902.51,38647.52
No,Yes,1741.27,18544.05
No,No,1166.64,52700.11
No,Yes,631.16,23245.07
No,Yes,1076.98,14668.38
Yes,No,1243.55,37634.35
No,No,2113.02,34747.76
No,No,1296.06,43313.28
No,No,1088.67,47147.73
No,No,824.73,42313.52
No,No,684.29,37011.18
No,No,37.36,26221.52
No,Yes,878.15,18414.57
No,No,904.24,40683.46
No,Yes,942.04,22181.39
No,Yes,957.49,16323.36
No,No,285.29,17606.64
No,Yes,1468.38,19846.06
No,No,322.71,27668.58
No,No,414.13,40877.23
No,No,1105.00,36812.71
No,No,0.45,31934.84
No,No,619.70,13902.18
No,No,293.87,56676.80
No,Yes,637.38,19704.92
No,No,1109.53,69325.08
No,No,1223.11,52903.46
No,Yes,1183.69,13081.66
No,No,569.79,54335.22
No,No,625.53,46026.49
No,No,833.66,16908.78
No,No,866.05,44827.27
No,Yes,945.48,17279.29
No,No,1554.85,43901.81
No,No,575.77,51927.75
No,No,1141.60,38722.96
No,No,1146.64,45376.56
No,No,0.00,34305.92
No,No,434.71,35454.76
No,No,1026.13,39135.64
No,Yes,1302.80,29252.36
No,No,690.71,59561.91
No,No,574.45,40727.64
No,No,0.00,43346.62
No,Yes,251.31,13058.61
No,Yes,1252.11,16490.71
No,No,207.90,52249.31
Yes,No,1753.08,48965.35
No,Yes,1279.94,21107.52
No,No,862.88,36461.90
No,No,1143.54,33394.98
No,No,1253.18,71238.55
No,No,624.08,25557.64
No,Yes,1027.86,14322.09
Yes,No,1964.01,50553.53
No,No,752.43,32539.65
No,No,953.93,32640.14
No,No,773.20,66749.43
No,No,432.79,52238.09
No,No,797.73,31616.80
No,No,240.84,56089.15
No,No,662.32,31815.35
No,Yes,1056.37,15432.40
No,No,741.09,43015.54
No,No,0.00,42284.68
No,No,981.95,41123.21
No,No,1569.84,42781.38
No,No,136.51,45596.11
No,Yes,731.95,18117.43
No,No,717.81,32040.93
